date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics,Tweets_clean,ACTIONS,NOUNS
2018-10-20 02:21:07,44160,Brasil,Será um blefe? Filho de Bolsonaro é banido pelo WhatsApp. https://t.co/gQywGcCJjx @TerraNoticiasBR Aplicativo notif… https://t.co/fg9G6fvhGL,13,119,8.23076923076923,0,0,um blefe filho bolsonaro é banido pelo whatsapp httpstcogqywgccjjx terranoticiasbr aplicativo notif… httpstcofg9g6fvhgl,,"pelo, filho, blefe"
2018-10-20 02:21:13,158,Surquillo,"@SolCn Bancada de dos gatos ja ja Apra nunk mas, Mulder nunk mas, Del Castillo a ver si consigues otro trabajo y de… https://t.co/24laTPxard",19,113,5.0,0,0,solcn bancada do gatos ja ja apra nunk ma mulder nunk ma castillo ver si consigues trabajo de… httpstco24latpxard,"consigues, nunk, mulder","solcn, gatos, castillo"
2018-10-20 02:21:36,823,Brasil,Jefer me contando das treta e eu reinciando o wi-fi 20x p poder responderele kkkkk,12,73,5.166666666666667,0,0,jefer contando da treta eu reinciando wifi 20x p poder responderele kkkkk,"da, contando, reinciando",responderele
2018-10-20 02:21:46,1030,Cruzeiro do Sul,@iogrr Ainnnnnnnn lindo é tu ❤️😍,5,28,4.8,0,0,iogrr ainnnnnnnn lindo é ❤️😍,lindo,iogrr
2018-10-20 02:21:51,319,Trujillo,Ahsu no me malogres los planes diciéndome q quieres verme por favors 😢,9,54,5.111111111111111,0,0,ahsu malogres plane diciéndome q quieres verme favor 😢,,"diciéndome, ahsu"
2018-10-20 02:21:51,298,Brasil,"@lucaspaasquini primo, estou saturado desta emissora record lixo tv",9,65,6.333333333333333,0,0,lucaspaasquini primo estou saturado desta emissora record lixo tv,record,estou
2018-10-20 02:21:52,715,San Juan de Miraflores,Directo a la yugular!#FranciscoPetrozzi,2,32,15.5,0,0,directo yugularfranciscopetrozzi,,
2018-10-20 02:21:56,319,Trujillo,@ximena_casanova Jkajajajajaj calla cagada,4,40,9.25,0,0,ximenacasanova jkajajajajaj calla cagada,,calla
2018-10-20 02:21:58,2847,La Molina,"Secundo la moción, q vaya a acompañar a su papi Abimael...",7,44,5.428571428571429,0,0,secundo moción q vaya acompañar papi abimael,"secundo, acompañar",
2018-10-20 02:22:00,10273,Ecuador,@Martinminguchi @4pelagatos4 Oye Martín y porque no pones ahí a los ASAMBLEÍSTAS DE OPOSICIÓN  como Sebastián Palac… https://t.co/bqjZJKgXTs,11,105,8.636363636363637,0,0,martinminguchi 4pelagatos4 oye martín pone ahí asambleístas oposición sebastián palac… httpstcobqjzjkgxts,pone,oposición
