date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics
2018-09-21 22:11:19,347,Villa Maria del Triunfo,"Mi nuevo tatuador es churro. Listo, sólo eso",8,44,4.625,0,0
2018-09-21 22:11:51,827,Miraflores,"Mutter Paneer &amp; Veg Samosas, almuerzo Indio con jc y Tatixxx en Mantra Garden Restobar https://t.co/wEO2DWGXdM",16,114,6.1875,0,0
2018-09-21 22:11:59,82,Breña,Este sábado en #GeekTownShow estaremos en una #divertida #Entrevista con el #cosplayer #AndrésAlexander conocido co… https://t.co/KSNwJYz4x7,16,140,7.8125,5,0
2018-09-21 22:12:12,254,Lima,"Nuestro re posteo del story de @NicoleNatalino #nicolenatalino
#Santiago #cienmanos @antonellant #kudai https://t.co/x57OicvY9b",12,127,8.846153846153847,4,0
2018-09-21 22:12:21,141,Peru,@mcgosal le podemos hacer una pequeña bienvenida,7,48,6.0,0,0
2018-09-21 22:12:28,192,La victoria,Su rico dulce de viernes por la tarde https://t.co/2KpbNbsrSX,9,61,5.888888888888889,0,0
2018-09-21 22:12:35,42266,Peru,"@KrisKV Que lindo, que lindo. seguimos fortaleciendo el mito idiosincrático que -para salir de abajo- o hay que ser… https://t.co/XcXfxxEIi7",20,140,6.05,0,0
2018-09-21 22:13:11,75,Magdalena del Mar,@POLITOLOGO171 Muchas gracias por el respaldo Miguel Ángel. Nosotros seguimos avanzando con más energía y motivada… https://t.co/JNuIDpDa5C,17,139,7.235294117647059,0,0
2018-09-21 22:13:19,254,Lima,"#Chile, listo para el #lluviadefuegotour2018. Sólo faltan 29 días 💕 #kudai #Santiago https://t.co/by0jMDNiCe",13,108,7.384615384615385,4,1
2018-09-21 22:14:10,17319,Santiago de Surco,"Mí abuela subió una foto mía a su history de Whatsapp, dice ""mí nieto en Perú"" y subió una de mi hermano que dice ""… https://t.co/oDeczMz5TZ",26,140,4.423076923076923,0,0
2018-09-21 22:14:12,1201,San isidro,@dnapa Tengo la misma y me la había olvidado en la oficina días. Hoy me la puse y vuelve a mi cuarto.,22,101,3.6363636363636362,0,0
2018-09-21 22:15:00,188,Magdalena Vieja,"@esthervargasc Me sentiré satisfecha cuando tenga la confianza de que mis congresistas legislan, no que pierden el… https://t.co/ydXlBCqJ81",18,139,6.777777777777778,0,0
2018-09-21 22:15:23,221,Magdalena del Mar,Un amigo se fue para Argentina y se dio cuenta de que estamos distribuidos así ahora ❤️ https://t.co/StuwmKSn95,18,111,5.222222222222222,0,0
2018-09-21 22:15:47,448,San Borja,@Edu_Sobrino Jajajajajajajaja,2,29,14.0,0,0
2018-09-21 22:16:00,1921,Lima,A fabulous fan art for a fabulous friday! 💛 @CarmellaWWE 👑💲 #MellaIsMoney https://t.co/M1DS61TNwX,13,97,6.538461538461538,1,0
2018-09-21 22:16:23,3121,Miraflores,"#Repost @GemeloBarga with get_repost
・・・
Míaliz se enteró de nuestro nuevo local y no dudó en ponerse en nuestras m… https://t.co/jLjjsxkwrT",19,140,5.714285714285714,1,0
2018-09-21 22:16:23,1171,Miraflores,Atardecer... en Miraflores https://t.co/tXzcKShefT,4,50,11.75,0,0
2018-09-21 22:16:28,104,San isidro,Campaña panetones (@ Ogilvy &amp; Mather - @ogilvype in Lima) https://t.co/jrmFtPCnJL,11,85,6.818181818181818,0,0
2018-09-21 22:16:29,98,San Miguel,"@JoseMartSN @TorresCassano @StyloyColor @Politica_LR Jose, no haga lo que estas personas hacen, pues sólo saben env… https://t.co/aw9yFRApIo",17,140,7.294117647058823,0,0
2018-09-21 22:16:33,75,Magdalena del Mar,"@PERUVIANY ¡Muchas gracias Carlos! Así es, tristemente no hemos avanzando mucho, estamos estancados en una sociedad… https://t.co/097ONxKlq0",17,140,7.294117647058823,0,0
2018-09-21 22:16:41,520,Lima,#filters #🦋 #blondedreads #blonde #ssjgirl #skinny #dreadstagram #dreadhead #skinnygirl #hm #dreads #vegetagirl… https://t.co/crfgP2GvFW,13,136,9.538461538461538,12,0
2018-09-21 22:16:54,448,San Borja,@Edu_Sobrino Old player jajajaja,4,32,7.25,0,0
2018-09-21 22:17:02,1943,San isidro,Siempre había un peo para que me pagarán porque colocaban desde la agencia de dónde me transferían DNI como si fuer… https://t.co/5Qp8ScKHVq,22,140,5.409090909090909,0,0
2018-09-21 22:17:03,1943,San isidro,"Resulta que hoy me pagaron como debe ser, junto con el pago de los demás. Cuando quiero ser intenso lo soy y mucho… https://t.co/91BXnGosFh",24,139,4.833333333333333,0,0
